"","SRA.accession","organism","percent","detected","source","collection.date","location","library_strategy","library_source","sample_name","bioproject","total_detected_targets","processed"
"1","SRR38114844","Norovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"2","SRR38114844","Rotavirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"3","SRR38114844","Parvovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"4","SRR38114844","Enterovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"5","SRR38114844","Astrovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"6","SRR38114844","Poliovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"7","SRR38114844","Sapovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"8","SRR38114844","Adenovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"9","SRR38114844","Morbillivirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"10","SRR38114844","Unclassified",100,1,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"11","SRR38114845","Norovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"12","SRR38114845","Rotavirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"13","SRR38114845","Parvovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"14","SRR38114845","Enterovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"15","SRR38114845","Astrovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"16","SRR38114845","Poliovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"17","SRR38114845","Sapovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"18","SRR38114845","Adenovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"19","SRR38114845","Morbillivirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"20","SRR38114845","Unclassified",100,1,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"21","SRR38324877","Norovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"22","SRR38324877","Rotavirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"23","SRR38324877","Parvovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"24","SRR38324877","Enterovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"25","SRR38324877","Astrovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"26","SRR38324877","Poliovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"27","SRR38324877","Sapovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"28","SRR38324877","Adenovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"29","SRR38324877","Morbillivirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"30","SRR38324877","Unclassified",100,1,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"31","SRR38324878","Norovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"32","SRR38324878","Rotavirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"33","SRR38324878","Parvovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"34","SRR38324878","Enterovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"35","SRR38324878","Astrovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"36","SRR38324878","Poliovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"37","SRR38324878","Sapovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"38","SRR38324878","Adenovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"39","SRR38324878","Morbillivirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"40","SRR38324878","Unclassified",100,1,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","SICU-2201-DRAIN","PRJNA1428285",0,"True"
"41","SRR38324879","Norovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"42","SRR38324879","Rotavirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"43","SRR38324879","Parvovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"44","SRR38324879","Enterovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"45","SRR38324879","Astrovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"46","SRR38324879","Poliovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"47","SRR38324879","Sapovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"48","SRR38324879","Adenovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"49","SRR38324879","Morbillivirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
"50","SRR38324879","Unclassified",100,1,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","CVICU-2221-DRAIN","PRJNA1428285",0,"True"
